itemId,pop
40,1468
573,488
1333,319
450,115
1334,206
255,651
576,326
2163,50
2143,70
843,630
1256,737
2262,106
1683,68
490,108
1850,104
328,489
417,597
1958,107
1851,274
2427,119
145,957
1967,254
1883,86
359,441
504,688
1065,67
2830,47
1522,125
364,297
976,57
2743,104
376,1031
3364,2
381,1226
1773,50
383,633
3178,6
1375,18
221,947
2157,22
239,169
441,144
2159,109
1078,215
1276,385
1686,118
242,800
25,275
3083,17
259,1256
260,303
3418,4
1867,29
1980,31
3168,7
2769,75
453,374
3322,6
852,250
3191,48
704,373
2265,83
1404,54
1219,106
1719,67
2820,4
2600,41
2235,230
909,642
2319,61
2225,66
478,166
1414,88
3075,9
996,121
2929,22
2123,25
2124,81
2821,36
1224,115
2125,68
2632,21
2226,16
821,122
1097,160
2201,53
822,130
1878,162
3420,6
1688,55
1890,62
1434,136
130,428
3102,7
2493,26
2656,5
2730,30
1926,88
2417,171
2878,42
3188,23
179,486
481,292
3115,8
1737,184
3377,4
92,1675
486,910
1226,413
2053,36
3203,8
752,24
2477,56
1427,49
2879,8
3425,3
3171,25
1435,129
1646,79
3088,11
1289,219
1932,60
3696,1
2926,6
2496,11
3596,2
2880,12
2097,63
3673,1
3680,1
1443,102
3255,7
2787,10
3666,1
3597,1
1747,101
871,468
3534,1
1459,298
1173,242
2195,10
2481,126
1937,15
2858,34
39,887
448,395
2646,41
575,551
1532,118
1609,59
2219,46
1315,135
1025,176
1876,84
878,391
461,546
276,347
144,376
955,269
146,571
2137,42
3269,3
1036,262
2197,82
1843,205
2440,65
1655,328
1184,411
2841,56
1302,151
298,149
1945,93
1656,15
2596,36
618,333
2198,73
2107,36
2718,20
1952,18
1190,396
621,151
1252,80
1954,133
3374,11
1956,75
2842,55
3448,1
1957,148
330,157
1354,111
1259,390
3416,9
970,404
421,89
3195,6
2677,22
370,24
774,125
2293,145
1803,55
2518,57
1442,144
776,472
2615,36
2951,31
2480,24
3167,9
2517,88
2629,23
232,117
787,244
1325,46
1748,146
3466,17
3344,22
1024,220
515,986
252,271
2099,178
3654,0
2550,83
3090,10
254,87
459,247
793,443
1033,230
1654,162
1337,94
141,646
1338,213
1339,171
2196,23
1842,111
2171,34
2399,20
1944,55
3059,8
3288,4
3402,7
795,507
958,352
607,96
796,186
2933,16
2375,13
1345,249
482,506
2106,27
2686,53
1189,141
886,82
1695,96
1953,73
44,2078
1059,211
1060,117
2907,21
3404,3
109,559
416,498
1353,97
1959,40
494,50
3196,62
2616,38
358,272
2379,167
2607,17
658,56
1360,157
660,132
1361,28
2113,32
1860,156
1969,172
513,147
3093,13
3699,1
1774,15
222,495
1775,98
1973,123
1077,35
79,514
982,649
2263,34
2831,22
