itemId,title,genres,pop
40,Toy Story (1995),Animation|Children's|Comedy,1468
573,Jumanji (1995),Adventure|Children's|Fantasy,488
1333,Grumpier Old Men (1995),Comedy|Romance,319
450,Waiting to Exhale (1995),Comedy|Drama,115
1334,Father of the Bride Part II (1995),Comedy,206
255,Heat (1995),Action|Crime|Thriller,651
576,Sabrina (1995),Comedy|Romance,326
2163,Tom and Huck (1995),Adventure|Children's,50
2143,Sudden Death (1995),Action,70
843,GoldenEye (1995),Action|Adventure|Thriller,630
1256,"American President, The (1995)",Comedy|Drama|Romance,737
2262,Dracula: Dead and Loving It (1995),Comedy|Horror,106
1683,Balto (1995),Animation|Children's,68
490,Nixon (1995),Drama,108
1850,Cutthroat Island (1995),Action|Adventure|Romance,104
328,Casino (1995),Drama|Thriller,489
417,Sense and Sensibility (1995),Drama|Romance,597
1958,Four Rooms (1995),Thriller,107
1851,Ace Ventura: When Nature Calls (1995),Comedy,274
2427,Money Train (1995),Action,119
145,Get Shorty (1995),Action|Comedy|Drama,957
1967,Copycat (1995),Crime|Drama|Thriller,254
1883,Assassins (1995),Thriller,86
359,Powder (1995),Drama|Sci-Fi,441
504,Leaving Las Vegas (1995),Drama|Romance,688
1065,Othello (1995),Drama,67
2830,Now and Then (1995),Drama,47
1522,Persuasion (1995),Romance,125
364,"City of Lost Children, The (1995)",Adventure|Sci-Fi,297
976,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,57
2743,Dangerous Minds (1995),Drama,104
376,Twelve Monkeys (1995),Drama|Sci-Fi,1031
3364,Wings of Courage (1995),Adventure|Romance,2
381,Babe (1995),Children's|Comedy|Drama,1226
1773,Carrington (1995),Drama|Romance,50
383,Dead Man Walking (1995),Drama,633
3178,Across the Sea of Time (1995),Documentary,6
1375,It Takes Two (1995),Comedy,18
221,Clueless (1995),Comedy|Romance,947
2157,"Cry, the Beloved Country (1995)",Drama,22
239,Richard III (1995),Drama|War,169
441,Dead Presidents (1995),Action|Crime|Drama,144
2159,Restoration (1995),Drama,109
1078,Mortal Kombat (1995),Action|Adventure,215
1276,To Die For (1995),Comedy|Drama,385
1686,How to Make an American Quilt (1995),Drama|Romance,118
242,Seven (Se7en) (1995),Crime|Thriller,800
25,Pocahontas (1995),Animation|Children's|Musical|Romance,275
3083,When Night Is Falling (1995),Drama|Romance,17
259,"Usual Suspects, The (1995)",Crime|Thriller,1256
260,Mighty Aphrodite (1995),Comedy,303
3418,Lamerica (1994),Drama,4
1867,"Big Green, The (1995)",Children's|Comedy,29
1980,Georgia (1995),Drama,31
3168,Kids of the Round Table (1995),Adventure|Children's|Fantasy,7
2769,Home for the Holidays (1995),Drama,75
453,"Postino, Il (The Postman) (1994)",Drama|Romance,374
3322,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,6
852,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,250
3191,Eye for an Eye (1996),Drama|Thriller,48
704,Mr. Holland's Opus (1995),Drama,373
2265,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,83
1404,Two if by Sea (1996),Comedy|Romance,54
1219,Bio-Dome (1996),Comedy,106
1719,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,67
2820,Two Bits (1995),Drama,4
2600,French Twist (Gazon maudit) (1995),Comedy|Romance,41
2235,Friday (1995),Comedy,230
909,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,642
2319,Fair Game (1995),Action,61
2225,Kicking and Screaming (1995),Comedy|Drama,66
478,"Misérables, Les (1995)",Drama|Musical,166
1414,Bed of Roses (1996),Drama|Romance,88
3075,Big Bully (1996),Comedy|Drama,9
996,Screamers (1995),Sci-Fi|Thriller,121
2929,Nico Icon (1995),Documentary,22
2123,"Crossing Guard, The (1995)",Drama,25
2124,"Juror, The (1996)",Drama|Thriller,81
2821,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,36
1224,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,115
2125,Antonia's Line (Antonia) (1995),Drama,68
2632,Once Upon a Time... When We Were Colored (1995),Drama,21
2226,Last Summer in the Hamptons (1995),Comedy|Drama,16
821,Angels and Insects (1995),Drama|Romance,122
1097,White Squall (1996),Adventure|Drama,160
2201,Dunston Checks In (1996),Children's|Comedy,53
822,Black Sheep (1996),Comedy,130
1878,Nick of Time (1995),Action|Thriller,162
3420,"Journey of August King, The (1995)",Drama,6
1688,Mary Reilly (1996),Drama|Thriller,55
1890,Vampire in Brooklyn (1995),Comedy|Romance,62
1434,Beautiful Girls (1996),Drama,136
130,Broken Arrow (1996),Action|Thriller,428
3102,In the Bleak Midwinter (1995),Comedy,7
2493,"Hate (Haine, La) (1995)",Drama,26
2656,Shopping (1994),Action|Thriller,5
2730,Heidi Fleiss: Hollywood Madam (1995),Documentary,30
1926,City Hall (1996),Drama|Thriller,88
2417,Bottle Rocket (1996),Comedy,171
2878,Mr. Wrong (1996),Comedy,42
3188,Unforgettable (1996),Thriller,23
