userId,itemId
3157,259
2115,3345
538,1027
5581,1647
4898,1820
5034,676
4276,1418
5926,3103
3264,770
3260,336
5719,1274
5335,799
5022,901
3841,563
3926,4
4252,51
455,264
5326,1644
4437,229
766,1465
2015,491
4978,1850
2993,2875
5353,26
224,1254
4372,714
367,524
5248,1256
34,1625
1136,1465
4174,207
728,1228
306,246
2213,32
4471,587
2925,1334
3307,954
3309,167
299,597
4978,1317
4088,701
2091,99
629,1115
1111,668
2906,1404
5918,38
1735,577
2397,338
3753,1041
2582,198
481,611
5619,112
1314,726
4483,2388
5041,335
4727,122
2593,195
1736,1387
5336,770
5117,926
4531,128
5076,255
194,777
677,341
3177,175
4884,0
4242,1202
5232,127
1834,1214
1578,1764
1217,1649
215,2416
3366,736
4907,711
1982,1716
3271,2320
1467,191
2750,206
5386,339
5287,1846
2506,255
1270,1289
3585,1456
3857,748
5295,135
4218,44
653,1192
5510,925
4816,123
1489,197
0,49
1713,568
2846,1034
255,641
3021,3
508,259
3468,1628
1456,819
5757,729
5953,1815
5830,1603
3575,190
3835,866
1763,1139
2543,1079
1638,523
3310,2718
4949,371
5954,1644
4618,229
1631,46
5758,61
304,3025
3609,198
748,1387
2462,192
5954,1454
4435,477
3562,1347
1201,431
5444,220
2389,557
3327,1194
361,255
1649,1931
5058,898
3798,1326
732,527
1850,354
91,1487
336,514
4994,59
5069,676
5567,1843
847,1467
1546,280
1829,44
1391,514
5025,745
5411,14
587,1283
5679,921
4160,857
41,1308
4143,605
3891,2497
4103,7
397,269
3647,120
3684,957
2236,1106
753,999
375,311
921,113
1591,48
5318,1537
2998,1731
3181,669
4947,1383
5778,78
4404,575
3223,1248
3204,1523
3805,2949
5915,411
3777,1423
5685,37
1578,1538
2899,1385
4467,1253
2506,1210
2506,1264
3559,244
5536,726
1944,151
2856,590
5787,354
102,145
2037,1064
248,728
530,1036
1736,1047
1327,895
1351,863
149,204
1328,22
391,600
1413,1202
3257,1272
1696,171
1496,60
3003,43
4020,251
2130,1909
2109,112
4297,426
868,238
1391,1472
5238,135
3064,639
1465,107
4605,1691
4182,240
1058,198
3915,133
3767,1710
3231,1423
423,698
1983,1350
2468,44
2865,918
3017,509
4477,2398
125,492
4307,13
1531,890
1146,97
3370,741
3840,770
2109,848
4487,748
5010,168
1353,224
4264,1041
1867,203
4168,1387
2052,2098
2105,128
234,867
542,1417
4302,5
4343,493
2993,1336
3593,868
428,317
3303,37
3634,1237
1612,215
424,1061
650,1473
4343,277
734,1157
1925,158
1801,2031
2724,1004
1450,397
3498,48
4567,521
5152,926
1605,189
5433,2577
5746,775
2014,1321
3182,755
4082,394
1895,1491
224,527
2376,1372
4125,500
5688,251
146,1081
976,206
2062,1218
3758,734
3223,798
5373,866
1297,514
2622,881
4877,696
4822,1308
634,30
4063,2030
997,283
5845,44
1854,711
397,184
237,2525
1001,444
4160,960
1879,1385
5889,176
4082,486
3930,454
594,148
933,1327
4864,1281
4224,957
731,2332
3502,531
3207,236
1844,1577
5135,41
5525,1231
4332,3043
3614,617
987,755
145,1145
3875,541
1635,928
4573,23
3291,51
940,805
2966,2563
5683,682
2747,43
2752,2066
1020,1456
2146,32
1615,1041
1796,2083
4572,1292
149,1730
745,888
1775,605
5633,2175
1560,710
1583,1579
1118,1664
2623,723
548,1022
799,1531
3434,1706
3006,182
1027,500
2397,1002
1957,1136
1139,1120
424,714
2382,644
790,853
3791,1075
2934,997
4304,68
3996,825
2563,541
1827,23
3737,829
4416,5
4334,593
1393,1293
2607,1466
3680,731
4830,38
4851,170
5879,1195
5510,1454
3409,737
5189,596
3331,508
888,2569
3835,91
2078,646
1229,1166
4334,1925
6009,1507
2264,840
4488,2569
2908,206
3704,890
4770,2905
2220,435
3181,2920
5786,220
2512,829
4217,116
5573,34
194,2186
656,2237
3928,1280
3498,635
5181,938
2565,206
183,390
1319,489
17,775
2476,1449
2248,2279
5615,203
5549,120
3833,878
4270,1306
2872,481
5041,1906
1180,1226
1981,327
1333,915
3598,78
3617,990
2954,547
5560,544
1424,1529
3012,3427
3204,647
4958,2106
675,695
687,663
3150,504
1639,909
3364,1339
3128,1499
1272,138
4752,6
2231,843
1154,64
5148,217
4927,803
3975,124
933,928
2943,647
3095,35
636,763
2023,2551
5110,2701
3451,524
5873,222
4689,2671
5955,58
876,146
5492,39
5280,171
4507,775
12,132
2987,800
3776,731
4387,107
509,218
77,2228
2200,2200
4578,27
1736,75
2017,1281
530,2830
3942,171
4402,812
1529,848
654,1061
3545,537
474,26
4963,2911
1751,1210
3335,168
2495,409
4237,1037
358,189
410,419
5090,1317
713,461
511,2015
5648,58
1700,1539
1301,996
4980,2222
5471,848
2117,563
3807,108
729,348
2194,2237
536,1675
5600,242
2942,2610
3418,44
3310,1219
2041,1017
1195,1106
1969,1015
1099,298
2977,1261
6030,177
5941,2148
1796,1126
1003,120
655,1268
4679,504
3162,1205
1998,1005
4757,704
412,773
753,533
3944,1652
3852,60
229,40
2927,8
4270,577
4132,335
4908,714
2717,1341
5059,182
1392,113
1195,453
310,244
4522,448
5846,392
1448,710
1119,1218
4053,2046
779,661
1089,92
4808,165
4212,891
1740,1506
1112,240
3508,1259
691,439
2851,376
4574,1122
465,357
1502,1061
2528,700
5977,2223
2284,921
527,290
5611,1271
4020,1016
6015,922
498,1059
1123,194
4259,770
745,1042
4084,64
1050,259
2040,1744
1206,573
4448,547
3335,123
4789,2669
517,118
5400,459
350,117
4886,465
5560,2117
3941,1540
1598,2468
5806,365
1625,806
4595,105
5737,1160
1168,158
1180,1228
1223,1528
5157,798
3307,1034
5482,283
5529,2618
4020,200
3870,399
1866,1521
4888,541
2819,301
4168,3561
4081,1730
6007,92
5619,167
1967,1242
4932,2303
3236,806
21,607
3651,1053
3463,669
1708,811
3277,1913
4508,0
5046,703
5766,97
698,1140
3278,812
4679,453
4408,941
244,222
4724,205
1494,49
1146,1532
2180,121
4359,207
4496,501
2303,743
1675,542
408,518
3776,51
5682,808
1921,217
5836,794
4302,1931
417,217
1014,722
1674,40
1332,840
3877,1279
3312,1662
1215,160
3348,606
3704,1447
4883,1230
328,1216
1961,1886
2951,2127
3470,2036
104,48
2062,2127
3997,2978
1361,1613
1541,89
1412,2313
4383,1382
3980,553
5552,662
1911,711
183,17
3364,566
4764,562
2966,2105
5834,693
4311,858
1310,9
1629,2928
4898,203
1180,1023
1369,1993
2111,39
910,608
3512,18
917,92
2929,2632
1469,227
3489,1131
1982,753
2642,200
3518,2320
3386,1228
5496,168
5565,2133
5926,351
898,881
1695,434
5122,2091
5224,183
3881,128
283,667
853,1340
3836,661
1649,916
4088,2239
1355,348
4505,739
3181,2021
3390,1287
3366,1566
4000,1760
868,651
33,412
3057,13
1836,383
4530,97
542,1814
3964,3191
1672,558
1631,2577
4027,1380
548,1535
3502,827
2887,1101
5390,1221
4203,425
3617,376
2403,2343
3525,1078
1532,517
5174,452
1473,462
2749,7
5172,1223
3838,381
1955,349
549,1851
2976,891
4424,634
4000,567
4124,625
4407,11
5658,1014
657,502
542,1316
2943,381
1361,733
2689,639
309,1047
2282,38
849,1318
2448,0
2321,305
3937,1585
3704,2633
5224,390
5102,702
2792,1693
3846,1911
1100,213
438,765
550,1185
1495,2294
3421,601
4321,89
1193,1749
5604,1258
5535,3097
3163,872
5033,878
1208,625
270,755
2224,420
5980,385
1206,342
4032,123
266,303
1421,2875
150,344
945,23
4063,1225
4507,1563
5254,623
2150,585
5185,211
21,1184
1763,1194
628,2350
1879,1340
289,27
2961,209
4468,741
2241,939
402,2200
2418,1912
165,1131
1877,1208
4762,559
615,15
4321,124
3461,1344
849,1621
4741,2644
492,2745
5554,743
1544,1098
1929,1313
4545,213
4087,456
3311,810
4660,1675
2615,341
5081,1467
2859,2159
4447,198
926,690
286,1902
3682,687
2040,392
4476,999
5582,203
1921,117
4082,393
3612,244
5805,225
1004,236
4886,240
2457,90
1638,541
1018,1534
919,732
2968,762
3577,92
5316,1900
206,1459
3201,202
795,1003
5535,1783
2326,1935
5393,232
1136,124
3449,733
3204,85
3410,3288
1675,596
1982,2131
17,577
5604,504
6006,1670
4111,125
3962,244
3421,179
540,92
3588,667
3582,679
3582,1503
2459,723
769,922
33,273
3166,847
4020,1240
2669,59
3424,2555
2254,632
5746,1178
2099,1414
3589,1050
508,1018
423,1716
1145,104
1699,405
356,242
3208,1670
4746,458
4890,186
1940,1660
5649,203
2680,168
6000,1604
4155,1073
3031,1132
714,1297
4772,128
300,672
1515,753
2083,433
1149,2463
5604,2078
198,2742
4965,92
4766,1276
5846,662
4167,123
5492,27
970,1111
2836,731
4228,356
174,578
3517,534
2204,1099
3970,155
875,385
4735,1118
3625,614
5073,594
5173,3410
4898,1064
5942,425
3188,1250
3470,135
5107,61
1981,51
4283,1058
3488,350
4093,1210
3956,1340
5509,1228
1440,1431
351,623
888,2593
2037,1801
2343,104
1559,923
4317,793
1391,664
3388,213
3930,586
1940,2930
1167,528
2230,1539
5885,1346
1940,1139
4604,1609
3815,642
5099,733
1732,2628
1243,1173
3527,838
3870,635
4083,609
754,547
2193,57
6036,669
3335,19
5985,12
1598,608
2544,323
1992,124
3726,1228
562,29
1604,1054
2755,1242
5857,594
3751,75
519,349
3825,31
2278,570
955,64
1739,1158
4113,127
1670,462
4734,48
2053,603
3260,1904
1093,277
1559,740
4311,130
3692,507
3400,2136
3977,1728
5064,663
3734,982
6036,546
730,1061
2785,1481
5793,198
351,2379
983,798
1448,347
3000,3
983,130
2613,1468
5189,34
2954,38
1267,184
3519,1157
4008,555
2108,994
5086,189
1273,1008
5529,681
4624,1014
461,1873
5197,2172
572,2099
1586,1970
3012,1004
1434,1880
584,767
3712,524
665,10
3307,1280
2087,186
3642,945
4649,127
3273,1166
202,568
4106,994
3279,97
3171,317
675,577
872,718
5274,2497
5459,1971
1596,1470
2681,246
4537,217
2091,1557
2607,756
5097,206
2418,317
3944,1963
4993,239
1598,1124
3811,644
1297,127
3021,1061
1942,475
3823,2980
4735,704
1178,1278
3313,386
493,871
407,151
5787,2641
4387,849
3609,2141
1219,1223
2993,199
2575,29
4542,1789
330,1182
4311,2460
3822,655
1612,678
953,515
5510,881
723,263
4507,1958
4060,2046
5698,171
5901,596
2961,195
309,40
4020,597
3748,527
423,168
5959,931
1227,2400
2723,667
4858,8
4139,1379
2614,368
3755,840
2742,2144
3849,2062
3064,166
3889,1986
5117,843
1940,1972
5754,716
283,876
3066,880
2266,797
3001,575
4374,2124
330,461
5830,1440
769,144
3859,974
5322,1451
4483,646
4932,1017
5249,283
3865,1260
708,1149
4451,869
219,258
4792,2475
5688,103
3575,409
3275,128
1063,59
4429,515
5106,36
5538,1573
5762,53
2135,371
1295,438
2628,1385
2628,1365
2037,512
5573,283
3556,614
816,2175
5840,1311
4830,211
3223,1775
942,280
2528,400
58,105
645,76
301,1053
4963,1095
5606,1354
1245,1846
5106,1394
5832,51
3849,541
475,1081
3337,273
5503,1604
298,597
939,317
5678,215
776,2550
4447,143
77,814
825,2154
502,121
3273,21
4520,1492
1339,1984
2242,559
5280,701
1657,199
3884,192
4287,124
5482,826
423,237
4679,176
5688,343
3445,1005
1623,130
3806,78
4471,112
240,48
2091,59
481,2088
3335,1085
831,371
779,1025
3269,765
2263,1096
1619,922
1180,246
3191,1165
2993,1529
2566,1407
3772,999
5787,2494
4363,758
1382,1262
1979,769
2180,938
4746,195
5642,2535
4311,251
5108,7
3991,925
3065,62
2163,324
1679,276
5384,538
5999,125
5629,923
1450,1405
2484,792
3223,2306
5099,134
1049,2828
2627,1405
5977,33
933,676
451,777
3477,2308
3188,83
5098,1899
1740,146
3650,891
3680,1226
5090,741
4587,7
6002,766
257,465
351,1850
5760,3274
1900,319
2596,425
2194,853
414,676
5577,38
3822,1039
1366,1046
1631,479
3449,470
5547,937
4176,903
4788,1112
2777,2855
5305,960
3987,575
3668,921
5527,669
2917,897
1233,22
4625,828
434,713
3518,732
3649,1275
1940,664
6035,1242
4542,2117
5609,85
1000,305
2884,565
3998,432
2456,3198
4472,422
4236,905
2072,249
3763,256
4880,219
4478,719
2179,389
1099,2283
1429,1950
5612,792
2536,174
4416,62
4498,1547
1359,164
1987,1641
1959,1667
3162,1939
4370,435
2013,205
5674,258
6035,584
623,1649
5432,2156
5785,194
5761,588
5529,1264
610,394
3340,904
4166,515
3475,338
3104,555
4590,606
2580,479
4075,39
3500,1610
3832,1154
4294,1104
2642,214
1446,1720
5814,322
5794,1014
2846,1081
5681,2587
1018,2102
2690,517
4994,16
1979,800
5403,231
3326,555
1033,1042
4770,1241
1616,273
5951,136
1033,1126
2981,1231
3043,623
5593,1913
4646,2018
4727,294
3066,90
186,1892
3806,689
4407,2529
1060,1109
5663,184
2197,537
2591,858
1324,381
3400,1382
1376,64
2618,136
4332,808
1058,2486
4542,990
5793,424
1973,2109
4452,5
116,1178
634,1531
1087,2559
1721,603
2941,2305
5136,914
4106,45
4972,1862
2401,662
2456,1984
3695,390
1369,1930
2014,1118
3064,704
3030,632
4853,262
5751,2621
523,983
4655,790
4040,1536
3092,305
4590,2379
656,30
3929,46
1590,280
4765,1916
5915,156
381,1061
2012,861
162,2658
3835,1300
3320,1466
4446,2422
1344,890
3980,129
351,38
5652,312
74,1834
512,575
306,2321
1339,1087
1665,382
923,678
4866,222
6009,825
2105,2338
2097,433
3674,599
4528,294
292,500
3276,23
3092,184
1968,280
3419,433
4950,755
3519,164
2928,883
3506,2861
3921,1135
1497,162
283,1162
1969,522
2224,2511
267,1061
2302,2233
2289,59
2471,2525
2521,664
5836,1349
3364,703
4249,2953
2760,651
1328,2237
1063,446
306,1496
135,1034
5804,403
5389,160
5219,67
4088,737
4446,1158
3630,211
5110,542
4063,601
1205,619
4674,864
2130,120
2648,1137
5683,620
3981,53
3245,453
241,195
1860,1348
1439,280
898,478
1599,635
3360,587
5316,1654
5431,2938
3619,173
530,916
1265,1135
1296,3312
5798,51
1883,591
2091,0
2648,89
3649,1338
3402,2542
2045,1120
1631,1657
2210,893
4604,378
1305,605
4015,52
1940,895
5487,382
2034,846
2061,67
636,546
4828,323
474,1103
698,326
4311,728
3342,1200
3716,643
4471,1359
1679,755
2691,987
5487,511
3731,2269
4250,62
2205,48
1183,472
594,690
6001,96
2318,19
1819,51
1646,64
1697,338
5069,200
5716,42
4414,196
4482,437
1488,2788
5879,120
3081,3277
4878,840
2809,1590
3283,542
3074,51
3821,392
2730,513
2180,571
5793,311
4892,980
4660,246
5427,447
3715,2338
1646,2266
2041,530
1039,1346
2302,112
5613,1540
5924,1061
209,240
2925,2838
1302,377
5827,317
5926,1200
1756,1865
2278,1481
5462,505
4311,2871
1409,1376
5871,1644
4033,147
4218,605
632,908
4276,292
1844,1273
5444,1913
4947,217
4477,1301
2640,1120
4652,51
2776,2208
137,68
91,612
3528,764
3012,505
4655,191
4268,984
4708,51
2072,77
2904,1270
2147,600
720,501
1415,862
5393,590
515,518
2899,19
1163,1061
1447,2362
5062,39
2526,6
4308,296
3817,236
1381,1922
5033,1103
4501,593
2289,1266
3209,121
2022,939
729,195
5351,1465
2287,1352
863,2400
4501,1456
1634,2337
2836,732
861,2091
498,639
888,1256
4999,152
3166,208
1488,128
888,484
4818,797
4724,606
2171,2481
301,1115
3330,277
3012,386
1353,1436
302,1309
3617,918
3625,730
5090,386
4584,217
2123,2350
4457,1025
2452,1686
2542,0
1747,1479
868,1040
1631,99
2853,15
1220,2182
1223,523
3703,399
1695,861
1510,105
2966,1497
5238,323
3177,646
5991,891
5219,1862
4359,1341
